City,State short,State full,County,City alias
Holtsville,NY,New York,SUFFOLK,Internal Revenue Service
Holtsville,NY,New York,SUFFOLK,Holtsville
Adjuntas,PR,Puerto Rico,ADJUNTAS,URB San Joaquin
Adjuntas,PR,Puerto Rico,ADJUNTAS,Jard De Adjuntas
Adjuntas,PR,Puerto Rico,ADJUNTAS,Colinas Del Gigante
Adjuntas,PR,Puerto Rico,ADJUNTAS,Adjuntas
Aguada,PR,Puerto Rico,AGUADA,Comunidad Las Flores
Aguada,PR,Puerto Rico,AGUADA,URB Isabel La Catolica
Aguada,PR,Puerto Rico,AGUADA,Alts De Aguada
Aguada,PR,Puerto Rico,AGUADA,Bo Guaniquilla
Aguada,PR,Puerto Rico,AGUADA,Aguada
Aguada,PR,Puerto Rico,AGUADA,Ext Los Robles
Aguadilla,PR,Puerto Rico,AGUADILLA,Ramey
Aguadilla,PR,Puerto Rico,AGUADILLA,Aguadilla
Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Lopez
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Maleza Gdns
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Victoria
Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Tres Palmas
Aguadilla,PR,Puerto Rico,AGUADILLA,Sect Las Villas
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Garcia
Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Linda
Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Universitaria
Aguadilla,PR,Puerto Rico,AGUADILLA,Bo Ceiba Baja
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Borinquen
Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Alegria
Aguadilla,PR,Puerto Rico,AGUADILLA,Vista Alegre
Aguadilla,PR,Puerto Rico,AGUADILLA,URB San Carlos
Aguadilla,PR,Puerto Rico,AGUADILLA,Bda Caban
Aguadilla,PR,Puerto Rico,AGUADILLA,Ext El Prado
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Esteves
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Ramey
Aguadilla,PR,Puerto Rico,AGUADILLA,Villas De Almeria
Aguadilla,PR,Puerto Rico,AGUADILLA,Bda Esteves
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Las Americas
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Las Casitas Country Club
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Santa Marta
Aguadilla,PR,Puerto Rico,AGUADILLA,Ext Marbella
Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Juan Aguiar
Aguadilla,PR,Puerto Rico,AGUADILLA,Villa Lydia
Aguadilla,PR,Puerto Rico,AGUADILLA,Bo Borinquen
Aguadilla,PR,Puerto Rico,AGUADILLA,Repto Jimenez
Aguadilla,PR,Puerto Rico,AGUADILLA,URB El Prado
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Marbella
Aguadilla,PR,Puerto Rico,AGUADILLA,URB Rubianes
Aguadilla,PR,Puerto Rico,AGUADILLA,Vista Verde
Maricao,PR,Puerto Rico,MARICAO,Maricao
Maricao,PR,Puerto Rico,MARICAO,URB San Juan Bautista
Anasco,PR,Puerto Rico,ANASCO,Anasco
Anasco,PR,Puerto Rico,ANASCO,Jard De Anasco
Anasco,PR,Puerto Rico,ANASCO,Repto Daguey
Anasco,PR,Puerto Rico,ANASCO,URB San Antonio
Anasco,PR,Puerto Rico,ANASCO,Brisas De Anasco
Anasco,PR,Puerto Rico,ANASCO,Paseo Del Valle
Anasco,PR,Puerto Rico,ANASCO,Est De Valle Verde
Angeles,PR,Puerto Rico,UTUADO,Angeles
Arecibo,PR,Puerto Rico,ARECIBO,Comunidad Buenos Aires
Arecibo,PR,Puerto Rico,ARECIBO,Ext Tanama
Arecibo,PR,Puerto Rico,ARECIBO,Jard De San Rafael
Arecibo,PR,Puerto Rico,ARECIBO,URB College Park Iv
Arecibo,PR,Puerto Rico,ARECIBO,URB Los Pinos
Arecibo,PR,Puerto Rico,ARECIBO,Villa Lucia
Arecibo,PR,Puerto Rico,ARECIBO,Vista Del Atlantico
Arecibo,PR,Puerto Rico,ARECIBO,Bo El Pasaje
Arecibo,PR,Puerto Rico,ARECIBO,Hacienda Toledo
Arecibo,PR,Puerto Rico,ARECIBO,Jard De Arecibo
Arecibo,PR,Puerto Rico,ARECIBO,Parc Mattey
Arecibo,PR,Puerto Rico,ARECIBO,Parq De Jardines
Arecibo,PR,Puerto Rico,ARECIBO,URB Arecibo Gdns
Arecibo,PR,Puerto Rico,ARECIBO,URB Costas Del Atlantico
Arecibo,PR,Puerto Rico,ARECIBO,URB Los Llanos
Arecibo,PR,Puerto Rico,ARECIBO,URB Martell
Arecibo,PR,Puerto Rico,ARECIBO,URB Regional
Arecibo,PR,Puerto Rico,ARECIBO,Villa Serena
Arecibo,PR,Puerto Rico,ARECIBO,Vista Azul
Arecibo,PR,Puerto Rico,ARECIBO,Bda Duhamel
Arecibo,PR,Puerto Rico,ARECIBO,Ext Villa Los Santos I
Arecibo,PR,Puerto Rico,ARECIBO,Parc Navas
Arecibo,PR,Puerto Rico,ARECIBO,Paseos Reales
Arecibo,PR,Puerto Rico,ARECIBO,URB San Daniel
Arecibo,PR,Puerto Rico,ARECIBO,Villa Los Santos
Arecibo,PR,Puerto Rico,ARECIBO,Villas Del Capitan
Arecibo,PR,Puerto Rico,ARECIBO,Villas Del Sol
Arecibo,PR,Puerto Rico,ARECIBO,URB Factor
Arecibo,PR,Puerto Rico,ARECIBO,URB Garcia
Arecibo,PR,Puerto Rico,ARECIBO,URB La Mucura
Arecibo,PR,Puerto Rico,ARECIBO,URB Marisol
Arecibo,PR,Puerto Rico,ARECIBO,URB Ocean Vw
Arecibo,PR,Puerto Rico,ARECIBO,Parc Perez
Arecibo,PR,Puerto Rico,ARECIBO,Repto Marquez
Arecibo,PR,Puerto Rico,ARECIBO,Sect Las Animas
Arecibo,PR,Puerto Rico,ARECIBO,URB El Paraiso
Arecibo,PR,Puerto Rico,ARECIBO,URB Garden View
Arecibo,PR,Puerto Rico,ARECIBO,URB Los Pinos Ii
